,Wine,Alcohol,Malic.acid,Ash,Color.int,Hue,HUE OD
0,1,14.23,1.71,2.43,5.64,1.04,4.96
1,1,13.2,1.78,2.14,4.38,1.05,4.45
2,1,13.16,2.36,2.67,5.68,1.03,4.2
3,1,14.37,1.95,2.5,7.8,0.86,4.3100000000000005
4,1,13.24,2.59,2.87,4.32,1.04,3.97
5,1,14.2,1.76,2.45,6.75,1.05,3.9000000000000004
6,1,14.39,1.87,2.45,5.25,1.02,4.6
7,1,14.06,2.15,2.61,5.05,1.06,4.640000000000001
8,1,14.83,1.64,2.17,5.2,1.08,3.93
9,1,13.86,1.35,2.27,7.22,1.01,4.56
10,1,14.1,2.16,2.3,5.75,1.25,4.42
11,1,14.12,1.48,2.32,5.0,1.17,3.9899999999999998
12,1,13.75,1.73,2.41,5.6,1.15,4.05
13,1,14.75,1.73,2.39,5.4,1.25,3.98
14,1,14.38,1.87,2.38,7.5,1.2,4.2
15,1,13.63,1.81,2.7,7.3,1.28,4.16
16,1,14.3,1.92,2.72,6.2,1.07,3.7199999999999998
17,1,13.83,1.57,2.62,6.6,1.13,3.6999999999999997
18,1,14.19,1.59,2.48,8.7,1.23,4.05
19,1,13.64,3.1,2.56,5.1,0.96,4.32
20,1,14.06,1.63,2.28,5.65,1.09,4.8
21,1,12.93,3.8,2.65,4.5,1.03,4.55
22,1,13.71,1.86,2.36,3.8,1.11,5.11
23,1,12.85,1.6,2.52,3.93,1.09,4.72
24,1,13.5,1.81,2.61,3.52,1.12,4.9399999999999995
25,1,13.05,2.05,3.22,3.58,1.13,4.33
26,1,13.39,1.77,2.62,4.8,0.92,4.140000000000001
27,1,13.3,1.72,2.14,3.95,1.02,3.79
28,1,13.87,1.9,2.8,4.5,1.25,4.65
29,1,14.02,1.68,2.21,4.7,1.04,4.63
30,1,13.73,1.5,2.7,5.7,1.19,3.9
31,1,13.58,1.66,2.36,6.9,1.09,3.9699999999999998
32,1,13.68,1.83,2.36,3.84,1.23,4.1
33,1,13.76,1.53,2.7,5.4,1.25,4.25
34,1,13.51,1.8,2.65,4.2,1.1,3.97
35,1,13.48,1.81,2.41,5.1,1.04,4.51
36,1,13.28,1.64,2.84,4.6,1.09,3.87
37,1,13.05,1.65,2.55,4.25,1.12,3.63
38,1,13.07,1.5,2.1,3.7,1.18,3.87
39,1,14.22,3.99,2.51,5.1,0.89,4.42
40,1,13.56,1.71,2.31,6.13,0.95,4.33
41,1,13.41,3.84,2.12,4.28,0.91,3.91
42,1,13.88,1.89,2.59,5.43,0.88,4.44
43,1,13.24,3.98,2.29,4.36,0.82,3.82
44,1,13.05,1.77,2.1,5.04,0.88,4.23
45,1,14.21,4.04,2.44,5.24,0.87,4.2
46,1,14.38,3.59,2.28,4.9,1.04,4.48
47,1,13.9,1.68,2.12,6.1,0.91,4.24
48,1,14.1,2.02,2.4,6.2,1.07,3.8200000000000003
49,1,13.94,1.73,2.27,8.9,1.12,4.220000000000001
50,1,13.05,1.73,2.04,7.2,1.12,4.03
51,1,13.83,1.65,2.6,5.6,1.24,4.61
52,1,13.82,1.75,2.42,7.05,1.01,4.27
53,1,13.77,1.9,2.68,6.3,1.13,4.0600000000000005
54,1,13.74,1.67,2.25,5.85,0.92,4.12
55,1,13.56,1.73,2.46,6.25,0.98,4.01
56,1,14.22,1.7,2.3,6.38,0.94,4.25
57,1,13.29,1.97,2.68,6.0,1.07,3.91
58,1,13.72,1.43,2.5,6.8,0.89,3.7600000000000002
59,2,12.37,0.94,1.36,1.95,1.05,2.87
60,2,12.33,1.1,2.28,3.27,1.25,2.92
61,2,12.64,1.36,2.02,5.75,0.98,2.5700000000000003
62,2,13.67,1.25,1.92,3.8,1.23,3.69
63,2,12.37,1.13,2.16,4.45,1.22,4.09
64,2,12.17,1.45,2.53,2.95,1.45,3.6799999999999997
65,2,12.37,1.21,2.56,4.6,1.19,3.4899999999999998
66,2,13.11,1.01,1.7,5.3,1.12,4.300000000000001
67,2,12.37,1.17,1.92,4.68,1.12,4.6
68,2,13.34,0.94,2.36,3.17,1.02,2.95
69,2,12.21,1.19,1.75,2.85,1.28,4.35
70,2,12.29,1.61,2.21,3.05,0.906,2.726
71,2,13.86,1.51,2.67,3.38,1.36,4.5200000000000005
72,2,13.49,1.66,2.24,3.74,0.98,3.76
73,2,12.99,1.67,2.6,3.35,1.31,4.8100000000000005
74,2,11.96,1.09,2.3,3.21,0.99,4.12
75,2,11.66,1.88,1.92,3.8,1.23,3.37
76,2,13.03,0.9,1.71,4.6,1.19,3.67
77,2,11.84,2.89,2.23,2.65,0.96,3.48
78,2,12.33,0.99,1.95,3.4,1.06,3.37
79,2,12.7,3.87,2.4,2.57,1.19,4.32
80,2,12.0,0.92,2.0,2.5,1.38,4.5
81,2,12.72,1.81,2.2,3.9,1.16,4.3
82,2,12.08,1.13,2.51,2.2,1.31,4.03
83,2,13.05,3.86,2.32,4.8,0.84,2.8499999999999996
84,2,11.84,0.89,2.58,3.05,0.79,3.87
85,2,12.67,0.98,2.24,2.62,1.23,4.390000000000001
86,2,12.16,1.61,2.31,2.45,1.33,3.59
87,2,11.65,1.67,2.62,2.6,1.36,4.57
88,2,11.64,2.06,2.46,2.8,1.0,3.75
89,2,12.08,1.33,2.3,1.74,1.07,4.28
90,2,12.08,1.83,2.32,2.4,1.08,3.35
91,2,12.0,1.51,2.42,3.6,1.05,3.7
92,2,12.69,1.53,2.26,3.05,0.96,3.02
93,2,12.29,2.83,2.22,2.15,1.15,4.449999999999999
94,2,11.62,1.99,2.28,3.25,1.16,4.12
95,2,12.47,1.52,2.2,2.6,1.16,3.79
96,2,11.81,2.12,2.74,2.5,0.95,3.21
97,2,12.29,1.41,1.98,2.9,1.23,3.97
98,2,12.37,1.07,2.1,4.5,1.04,3.81
99,2,12.29,3.17,2.21,2.3,1.42,4.25
100,2,12.08,2.08,1.7,3.3,1.27,4.23
101,2,12.6,1.34,1.9,2.45,1.04,3.81
102,2,12.34,2.45,2.46,2.8,0.8,4.18
103,2,11.82,1.72,1.88,2.06,0.94,3.38
104,2,12.51,1.73,1.98,2.94,1.04,4.609999999999999
105,2,12.42,2.55,2.27,2.7,0.86,4.16
106,2,12.25,1.73,2.12,3.4,1.0,4.17
107,2,12.72,1.75,2.28,3.3,0.88,3.3
108,2,12.22,1.29,1.94,2.7,0.86,3.88
109,2,11.61,1.35,2.7,2.65,0.96,4.22
110,2,11.46,3.74,1.82,2.9,0.75,3.56
111,2,12.52,2.43,2.17,2.0,0.9,3.6799999999999997
112,2,11.76,2.68,2.92,3.8,1.23,3.73
113,2,11.41,0.74,2.5,3.08,1.1,3.41
114,2,12.08,1.39,2.5,2.9,0.93,4.12
115,2,11.03,1.51,2.2,1.9,1.71,4.58
116,2,11.82,1.47,1.99,1.95,0.95,4.28
117,2,12.42,1.61,2.19,2.06,1.06,4.02
118,2,12.77,3.43,1.98,3.4,0.7,2.8200000000000003
119,2,12.0,3.43,2.0,1.28,0.93,3.98
120,2,11.45,2.4,2.42,3.25,0.8,4.19
121,2,11.56,2.05,3.23,6.0,0.93,4.62
122,2,12.42,4.43,2.73,2.08,0.92,4.04
123,2,13.05,5.8,2.13,2.6,0.73,3.83
124,2,11.87,4.31,2.39,2.8,0.75,4.390000000000001
125,2,12.07,2.16,2.17,2.76,0.86,4.14
126,2,12.43,1.53,2.29,3.94,0.69,3.53
127,2,11.79,2.13,2.78,3.0,0.97,3.41
128,2,12.37,1.63,2.3,2.12,0.89,3.67
129,2,12.04,4.3,2.38,2.6,0.79,3.36
130,3,12.86,1.35,2.32,4.1,0.76,2.05
131,3,12.88,2.99,2.4,5.4,0.74,2.16
132,3,12.81,2.31,2.4,5.7,0.66,2.02
133,3,12.7,3.55,2.36,5.0,0.78,2.0700000000000003
134,3,12.51,1.24,2.25,5.45,0.75,2.26
135,3,12.6,2.46,2.2,7.1,0.73,2.31
136,3,12.25,4.72,2.54,3.85,0.75,2.02
137,3,12.53,5.51,2.64,5.0,0.82,2.51
138,3,13.49,3.59,2.19,5.7,0.81,2.63
139,3,12.84,2.96,2.61,4.92,0.89,3.04
140,3,12.93,2.81,2.7,4.6,0.77,3.08
141,3,13.36,2.56,2.35,5.6,0.7,3.17
142,3,13.52,3.17,2.72,4.35,0.89,2.95
143,3,13.62,4.95,2.35,4.4,0.91,2.96
144,3,12.25,3.88,2.2,8.21,0.65,2.65
145,3,13.16,3.57,2.15,4.0,0.6,2.28
146,3,13.88,5.04,2.23,4.9,0.58,1.9100000000000001
147,3,12.87,4.61,2.48,7.65,0.54,2.4000000000000004
148,3,13.32,3.24,2.38,8.42,0.55,2.17
149,3,13.08,3.9,2.36,9.4,0.57,1.9
150,3,13.5,3.12,2.62,8.6,0.59,1.8900000000000001
151,3,12.79,2.67,2.48,10.8,0.48,1.95
152,3,13.11,1.9,2.75,7.1,0.61,1.94
153,3,13.23,3.3,2.28,10.52,0.56,2.0700000000000003
154,3,12.58,1.29,2.1,7.6,0.58,2.13
155,3,13.17,5.19,2.32,7.9,0.6,2.08
156,3,13.84,4.12,2.38,9.01,0.57,2.21
157,3,12.45,3.03,2.64,7.5,0.67,2.4
158,3,14.34,1.68,2.7,13.0,0.57,2.53
159,3,13.48,1.67,2.64,11.75,0.57,2.35
160,3,12.36,3.83,2.38,7.65,0.56,2.14
161,3,13.69,3.26,2.54,5.88,0.96,2.7800000000000002
162,3,12.85,3.27,2.58,5.58,0.87,2.98
163,3,12.96,3.45,2.35,5.28,0.68,2.43
164,3,13.78,2.76,2.3,9.58,0.7,2.38
165,3,13.73,4.36,2.26,6.62,0.78,2.5300000000000002
166,3,13.45,3.7,2.6,10.68,0.85,2.41
167,3,12.82,3.37,2.3,10.26,0.72,2.4699999999999998
168,3,13.58,2.58,2.69,8.66,0.74,2.54
169,3,13.4,4.6,2.86,8.5,0.67,2.59
170,3,12.2,3.03,2.32,5.5,0.66,2.49
171,3,12.77,2.39,2.28,9.899999,0.57,2.1999999999999997
172,3,14.16,2.51,2.48,9.7,0.62,2.33
173,3,13.71,5.65,2.45,7.7,0.64,2.38
174,3,13.4,3.91,2.48,7.3,0.7,2.26
175,3,13.27,4.28,2.26,10.2,0.59,2.15
176,3,13.17,2.59,2.37,9.3,0.6,2.22
177,3,14.13,4.1,2.74,9.2,0.61,2.21
